Clase,TipoTraccion,Marca,Modelo,Matricula,TituloAdquisicion,Destino,CostoAdquisicion,FechaMatriculacion,Antiguedad
Furgoneta,Tracción mecánica (combustión),Nissan,Prismastar 1.9 Dci 3098/7780 Co,2471-FKK,Desconocido,Servicio Municipal de Obras,Desconocido,12/1/2007,14
Furgoneta,Tracción mecánica (combustión),Citroën,Berlingo 1.9 D,6158-FMZ,Desconocido,Servicio Municipal de Obras,Desconocido,30/3/2007,14
Furgoneta,Tracción mecánica (combustión),Renault,Kangoo 1.9,0716-DFC,Desconocido,Servicio Municipal de Obras,Desconocido,29/12/2004,17
Furgoneta,Tracción mecánica (combustión),Citroën,Berlingo 1.9 D  Combi,2233-DLZ,Desconocido,Servicio Municipal de Obras,Desconocido,23/6/2005,16
Todo Terreno,Tracción mecánica (combustión),Land-Rover,Defender 90 2.5 T,CU-4757-I,Desconocido,Servicio Municipal de Obras (Vehículo usos varios),Desconocido,18/7/1996,25
Todo Terreno,Tracción mecánica (combustión),Mitsubishi,L-200 2.5 Tdi Jac,CU-2943-K,Desconocido,Servicio Municipal de Tráfico y Equipamiento Urbano,Desconocido,30/12/1999,22
Furgón,Tracción mecánica (combustión),Peugeot,Boxer 1.8 350 L Td C,CU-4205-K,Desconocido,Servicio Municipal de Tráfico y Equipamiento Urbano,Desconocido,14/3/2000,21
Motocicleta,Tracción mecánica (combustión),Piaggio,Vespa X8 125,4425-FGV,Desconocido,Agentes de Movilidad,Desconocido,24/10/2006,15
Motocicleta,Tracción mecánica (combustión),Piaggio,Vespa X8 125,4471- FGV,Desconocido,Agentes de Movilidad,Desconocido,24/10/2006,15
Turismo,Tracción mecánica (combustión),Citroën,Jumpy 2.0,1601-DCL,Desconocido,Agentes de Movilidad,Desconocido,8/11/2004,17
Motocicleta,Tracción mecánica (combustión),Piaggio,Vespa X9 500 4T,1294-CZL,Desconocido,Policía Local,Desconocido,25/8/2004,17
