Orden,Suborden,Propiedad,Denominacion,NaturalezaJuridica,Uso,Destino,Superficie,ReferenciaCatastral,Tipo
680,-,273,RÚSTICA EN LAS ERAS. POLG. 511. PARCELA 5003,Patrimonial,Patrimoniales,Parcelas Rústicas,392.0 m2,16900D511050030000WA,MOHORTE
681,-,274,RÚSTICA EN EL CASTILLO. POLG. 511. PARC. 5010,Patrimonial,Patrimoniales,Parcelas Rústicas,2871.0 m2,16900D511050100000WQ,MOHORTE
682,-,275,RÚSTICA EN LA FUENTE DEL REY. POLG. 510. PARC. 5004,Patrimonial,Patrimoniales,Parcelas Rústicas,560.0 m2,16900D510050040000WT,MOHORTE
683,-,276,RÚSTICA EN EL PUEBLO. POLG. 511. PAR. 5020,Patrimonial,Patrimoniales,Parcelas Rústicas,681.0 m2,16900D511050200000WK,MOHORTE
684,-,277,RÚSTICA EN LA FUENTE. POLG. 8 (ACTUAL POL 511). PARCS. 44. 45 Y 46,Patrimonial,Patrimoniales,Parcelas Rústicas,381.0 m2,NO LOCALIZADO,MOHORTE
685,-,278,RÚSTICA EN LA FUENTE. POLG. 8 (ACTUAL POL. 511). PARCS. 484. 950 Y 951,Patrimonial,Patrimoniales,Parcelas Rústicas,409.0 m2,NO LOCALIZADO,MOHORTE
686,-,844,RÚSTICA EN HONDO DEL ROYO,Patrimonial,Patrimoniales,Parcelas Rústicas,11079.0 m2,16900D505050530000WT,MOHORTE
687,-,845,RÚSTICA EN EL ROYO.,Patrimonial,Patrimoniales,Parcelas Rústicas,11079.0 m2,16900D505050530000WT,MOHORTE
688,-,846,RÚSTICA EN EL HONDO DEL ROYO VALLEJO DE LA FUENTECILLA DE LAS CUESTAS,Patrimonial,Patrimoniales,Parcelas Rústicas,16079.0 m2,16900D505050530000WT,MOHORTE
689,-,1489,FINCA RÚSTICA CAMINO DE LA FUENTE Nº 1,Patrimonial,Patrimoniales,Solares,127.0 m2,0291012WK8209S0001KB,MOHORTE
